Datetime,Close
2012-01-01,4.635714285714286
2012-01-02,4.973333333333334
2012-01-03,5.087083333333333
2012-01-04,5.175833333333333
2012-01-05,5.94125
2012-01-06,6.6191666666666675
2012-01-07,6.033333333333334
2012-01-08,6.816666666666666
2012-01-09,6.828333333333333
2012-01-10,6.36625
2012-01-11,7.062083333333334
2012-01-12,7.011666666666667
2012-01-13,6.695416666666667
2012-01-14,6.485833333333333
2012-01-15,6.591666666666666
2012-01-16,7.0687500000000005
2012-01-17,7.016666666666667
2012-01-18,6.466666666666666
2012-01-19,6.5995833333333325
2012-01-20,6.458333333333333
2012-01-21,6.95
2012-01-22,6.60875
2012-01-23,6.591666666666666
2012-01-24,6.519166666666666
2012-01-25,6.61375
2012-01-26,6.264583333333333
2012-01-27,5.90125
2012-01-28,5.314166666666667
2012-01-29,5.528333333333333
2012-01-30,5.468333333333334
2012-01-31,5.6554166666666665
2012-02-01,5.434583333333333
2012-02-02,6.028333333333333
2012-02-03,6.1933333333333325
2012-02-04,6.302916666666667
2012-02-05,5.942083333333334
2012-02-06,5.556666666666666
2012-02-07,5.6691666666666665
2012-02-08,5.687916666666667
2012-02-09,5.7820833333333335
2012-02-10,5.88
2012-02-11,5.730416666666667
2012-02-12,5.541250000000001
2012-02-13,5.617916666666667
2012-02-14,5.3025
2012-02-15,4.88875
2012-02-16,4.60125
2012-02-17,4.699166666666667
2012-02-18,4.449166666666667
2012-02-19,4.3133333333333335
2012-02-20,4.461666666666667
2012-02-21,4.445
2012-02-22,4.50875
2012-02-23,4.6658333333333335
2012-02-24,5.108333333333333
2012-02-25,5.0095833333333335
2012-02-26,4.995416666666666
2012-02-27,4.997916666666667
2012-02-28,5.045
2012-02-29,4.952083333333333
2012-03-01,5.010833333333333
2012-03-02,4.847083333333333
2012-03-03,4.8012500000000005
2012-03-04,4.68125
2012-03-05,4.889583333333333
2012-03-06,5.007499999999999
2012-03-07,5.019583333333333
2012-03-08,4.9470833333333335
2012-03-09,5.0125
2012-03-10,4.93875
2012-03-11,4.941666666666667
2012-03-12,4.9875
2012-03-13,5.039166666666667
2012-03-14,5.345416666666666
2012-03-15,5.31125
2012-03-16,5.3429166666666665
2012-03-17,5.33
2012-03-18,5.38
2012-03-19,5.201666666666667
2012-03-20,4.902083333333334
2012-03-21,4.847083333333333
2012-03-22,4.864583333333333
2012-03-23,4.797916666666667
2012-03-24,4.7675
2012-03-25,4.680000000000001
2012-03-26,4.6025
2012-03-27,4.717083333333334
2012-03-28,4.801666666666667
2012-03-29,4.84625
2012-03-30,4.84125
2012-03-31,4.890416666666667
2012-04-01,4.8654166666666665
2012-04-02,4.877083333333333
2012-04-03,4.9816666666666665
2012-04-04,4.946666666666666
2012-04-05,4.96375
2012-04-06,4.947916666666667
2012-04-07,4.910833333333334
2012-04-08,4.746666666666667
2012-04-09,4.736666666666667
2012-04-10,4.798333333333333
2012-04-11,4.8225
2012-04-12,4.845833333333333
2012-04-13,4.89
2012-04-14,4.964583333333334
2012-04-15,4.951666666666667
2012-04-16,4.960416666666666
2012-04-17,4.980416666666667
2012-04-18,5.083749999999999
2012-04-19,5.135000000000001
2012-04-20,5.13375
2012-04-21,5.3012500000000005
2012-04-22,5.2195833333333335
2012-04-23,5.1779166666666665
2012-04-24,5.09375
2012-04-25,5.105416666666667
2012-04-26,5.087083333333333
2012-04-27,5.035416666666666
2012-04-28,4.995
2012-04-29,4.8966666666666665
2012-04-30,4.9325
2012-05-01,4.962083333333333
2012-05-02,5.075833333333333
2012-05-03,5.0925
2012-05-04,5.102916666666666
2012-05-05,5.0841666666666665
2012-05-06,5.065
2012-05-07,5.039583333333334
2012-05-08,5.051666666666667
2012-05-09,5.038749999999999
2012-05-10,5.010833333333333
2012-05-11,4.930833333333333
2012-05-12,4.956666666666666
2012-05-13,4.9366666666666665
2012-05-14,4.924166666666667
2012-05-15,4.96125
2012-05-16,4.990833333333334
2012-05-17,5.027916666666667
2012-05-18,5.038749999999999
2012-05-19,5.065833333333333
2012-05-20,5.055000000000001
2012-05-21,5.043333333333334
2012-05-22,5.0675
2012-05-23,5.0562499999999995
2012-05-24,5.079166666666667
2012-05-25,5.101666666666667
2012-05-26,5.0825000000000005
2012-05-27,5.067916666666666
2012-05-28,5.07625
2012-05-29,5.0625
2012-05-30,5.1033333333333335
2012-05-31,5.132916666666667
2012-06-01,5.180416666666667
2012-06-02,5.203333333333333
2012-06-03,5.1954166666666675
2012-06-04,5.193333333333333
2012-06-05,5.320416666666667
2012-06-06,5.41
2012-06-07,5.433333333333334
2012-06-08,5.557083333333334
2012-06-09,5.59375
2012-06-10,5.50375
2012-06-11,5.46
2012-06-12,5.560833333333334
2012-06-13,5.8325
2012-06-14,5.848333333333333
2012-06-15,5.891666666666667
2012-06-16,6.346666666666667
2012-06-17,6.400833333333334
2012-06-18,6.1883333333333335
2012-06-19,6.29
2012-06-20,6.480833333333333
2012-06-21,6.66125
2012-06-22,6.623333333333334
2012-06-23,6.5633333333333335
2012-06-24,6.414166666666667
2012-06-25,6.269166666666667
2012-06-26,6.304166666666667
2012-06-27,6.44125
2012-06-28,6.485416666666667
2012-06-29,6.524166666666666
2012-06-30,6.565
2012-07-01,6.589166666666666
2012-07-02,6.580416666666667
2012-07-03,6.574583333333333
2012-07-04,6.485833333333333
2012-07-05,6.5625
2012-07-06,6.581666666666667
2012-07-07,6.595833333333334
2012-07-08,6.66
2012-07-09,6.7825
2012-07-10,6.990833333333334
2012-07-11,7.090833333333333
2012-07-12,7.142499999999999
2012-07-13,7.5129166666666665
2012-07-14,7.5616666666666665
2012-07-15,7.512083333333333
2012-07-16,7.616666666666667
2012-07-17,8.199583333333333
2012-07-18,8.71625
2012-07-19,9.012916666666667
2012-07-20,8.362083333333333
2012-07-21,8.642083333333334
2012-07-22,8.745416666666667
2012-07-23,8.655
2012-07-24,8.549999999999999
2012-07-25,8.530416666666666
2012-07-26,8.556666666666667
2012-07-27,8.7925
2012-07-28,8.844166666666666
2012-07-29,8.780833333333334
2012-07-30,8.7025
2012-07-31,9.118333333333334
2012-08-01,9.32
2012-08-02,9.488333333333333
2012-08-03,10.421249999999999
2012-08-04,10.927916666666667
2012-08-05,10.575416666666667
2012-08-06,10.679583333333333
2012-08-07,10.772916666666667
2012-08-08,10.877916666666666
2012-08-09,11.142916666666666
2012-08-10,11.142916666666666
2012-08-11,11.320416666666667
2012-08-12,11.432083333333333
2012-08-13,11.632083333333334
2012-08-14,11.933333333333332
2012-08-15,12.375
2012-08-16,13.21
2012-08-17,14.191249999999998
2012-08-18,12.224583333333333
2012-08-19,10.420416666666666
2012-08-20,9.221666666666666
2012-08-21,10.0
2012-08-22,10.037916666666666
2012-08-23,10.000416666666668
2012-08-24,10.038333333333332
2012-08-25,10.352916666666667
2012-08-26,10.544166666666667
2012-08-27,11.049583333333333
2012-08-28,10.901666666666666
2012-08-29,10.90125
2012-08-30,10.795
2012-08-31,10.4825
2012-09-01,10.050416666666665
2012-09-02,9.935416666666667
2012-09-03,10.203333333333333
2012-09-04,10.35375
2012-09-05,10.314583333333333
2012-09-06,10.803333333333333
2012-09-07,10.979999999999999
2012-09-08,10.8925
2012-09-09,10.924999999999999
2012-09-10,10.909166666666666
2012-09-11,10.89
2012-09-12,10.969583333333333
2012-09-13,11.22125
2012-09-14,11.3375
2012-09-15,11.535416666666668
2012-09-16,11.636666666666668
2012-09-17,11.725
2012-09-18,11.822083333333333
2012-09-19,12.160000000000002
2012-09-20,12.436666666666667
2012-09-21,12.2475
2012-09-22,12.134583333333333
2012-09-23,11.941249999999998
2012-09-24,11.92125
2012-09-25,11.92375
2012-09-26,11.916666666666666
2012-09-27,12.140833333333333
2012-09-28,12.145000000000001
2012-09-29,12.202916666666667
2012-09-30,12.200416666666667
2012-10-01,12.17125
2012-10-02,12.30375
2012-10-03,12.664583333333333
2012-10-04,12.797916666666666
2012-10-05,12.549583333333333
2012-10-06,12.509166666666667
2012-10-07,12.095833333333333
2012-10-08,11.298333333333332
2012-10-09,11.799583333333333
2012-10-10,11.957083333333335
2012-10-11,11.984166666666667
2012-10-12,11.997083333333334
2012-10-13,11.924999999999999
2012-10-14,11.83875
2012-10-15,11.592500000000001
2012-10-16,11.759583333333333
2012-10-17,11.807916666666666
2012-10-18,11.804583333333333
2012-10-19,11.732916666666666
2012-10-20,11.600833333333334
2012-10-21,11.545
2012-10-22,11.4525
2012-10-23,11.543333333333335
2012-10-24,11.458333333333334
2012-10-25,11.207083333333335
2012-10-26,10.515
2012-10-27,10.02625
2012-10-28,10.505833333333333
2012-10-29,10.565833333333332
2012-10-30,10.737916666666669
2012-10-31,10.78625
2012-11-01,10.9625
